age,genre,profession,risque commune,département,depuis,Proprio,Principale,informé,erosion présent,intensité érosion,média,marquant,quel marquant,danger,Avis,bien avis,investissement,invest comment,actions,action laquel
60 à 74 ans,Femme,Non,Oui,Hauts-de-Seine,13.0,Propriétaire,Résidence secondaire,Pas informé,Oui,Peu présent,Non,Non,,Non,Oui,Non,Non,,Oui,Des murs non aucune idée
45 à 59 ans,Homme,Non,Oui,Ille-et-Vilaine,40.0,Propriétaire,Résidence secondaire,Pas informé,Oui,Peu présent,Non,Oui,Erica,Oui,Oui,Non,Oui,Les plastiques pour les pêcheurs,Non,
75 ans ou plus,Femme,Non,Oui,Dordogne,7.0,Propriétaire,Résidence principale,Assez informé,Oui,Peu présent,Non,Oui,tempête novembre 2024 et fin octobre 2025,Non,,Non,Non,,Oui,Pancarte
75 ans ou plus,Homme,Non,Oui,Aube,40.0,Propriétaire,Résidence principale,Assez informé,Oui,Assez présent,Oui,Oui,,Non,Oui,Non,Oui,En faisant des cleanwalk,Oui,Nettoyage de la plage plusieurs fois par ans qu’il faudrait améliorer
75 ans ou plus,Homme,Non,Oui,Ariège,40.0,Propriétaire,Résidence principale,Assez informé,Oui,Assez présent,Oui,Oui,,Non,Oui,Non,Oui,En faisant des cleanwalk,Oui,Nettoyage de la plage plusieurs fois par ans qu’il faudrait améliorer
60 à 74 ans,Femme,Non,Oui,Maine-et-Loire,4.0,Propriétaire,Résidence principale,Peu informé,Oui,Peu présent,Non,Oui,tempête Novembre 2024,Non,Oui,Non,Non,,Non,
60 à 74 ans,Femme,Non,Oui,Lozère,4.0,Propriétaire,Résidence principale,Peu informé,Oui,Assez présent,Non,Non,,Non,Oui,Non,Non,,Non,
60 à 74 ans,Femme,Non,Oui,Var,5.0,Propriétaire,Résidence principale,Très informé,Oui,Peu présent,Oui,Oui,Chemin littoraux qui part et sont fermé,Non,Oui,Non,Non,,Non,
60 à 74 ans,Femme,Non,Oui,Haute-Saône,5.0,Propriétaire,Résidence principale,Très informé,Oui,Peu présent,Oui,Oui,Chemin littoraux qui part et sont fermé,Non,Oui,Non,Non,,Non,
45 à 59 ans,Femme,Non,Non,Alpes-Maritimes,13.0,Locataires,Résidence principale,Pas informé,Oui,Abscent,Non,Oui,Tempête mais pas de gros incident,Non,Oui,Non,Oui,Attentif à son évolution,Oui,Entretien et assez correct
60 à 74 ans,Homme,Non,Oui,Haute-Corse,1.5,Propriétaire,Résidence principale,Assez informé,Oui,Très présent,Non,Non,,Non,Oui,Non,Non,,Oui,Pancarte et barrière
30 à 44 ans,Homme,Oui,Oui,Cher,3.0,Locataires,Résidence principale,Très informé,Oui,Assez présent,Oui,Oui,Falaise qui s'est effondré en début,Non,Non,Non,Non,,Non,
45 à 59 ans,Femme,Non,Oui,Seine-Saint-Denis,52.0,Propriétaire,Résidence principale,Assez informé,Oui,Peu présent,Non,Oui,Érosion de la roche percée,Non,Oui,Non,Non,,Oui,Végétalisation
